cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1965,1989,% of DE,97.29841090490491,95.85593703208025,7031084,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Serbia,-1.4424738728246638,-1.4,divergence,% of DE
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1989,1995,% of DE,95.85593703208025,95.00323311757442,7881211,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Yugosl.: Serbia,-0.852703914505824,-0.9,divergence,% of DE
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1995,2023,% of DE,95.00323311757442,94.33702353347415,7823230,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Yugosl.: Serbia,-0.6662095841002724,-0.7,divergence,% of DE
CEE,CEE,Slovakia,SVK,1950,1965,% of DE,90.96618531024738,99.51646086164834,3465707,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Slovakia,8.550275551400958,+8.6,convergence,% of DE
CEE,CEE,Slovakia,SVK,1965,1989,% of DE,99.51646086164834,93.99803887792015,4364999,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Slovakia,-5.518421983728189,-5.5,divergence,% of DE
CEE,CEE,Slovakia,SVK,1989,1995,% of DE,93.99803887792015,94.38574031860904,5249882,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Slovakia,0.3877014406888861,+0.4,no change,% of DE
CEE,CEE,Slovakia,SVK,1995,2023,% of DE,94.38574031860904,96.26887955791328,5354244,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Slovakia,1.883139239304242,+1.9,convergence,% of DE
Yugosl.,CEE,Slovenia,SVN,1950,1965,% of DE,92.52221184472064,97.27504810612656,1446309,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Slovenia,4.752836261405918,+4.8,convergence,% of DE
Yugosl.,CEE,Slovenia,SVN,1965,1989,% of DE,97.27504810612656,97.11542793538896,1675272,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Slovenia,-0.15962017073759682,-0.2,no change,% of DE
Yugosl.,CEE,Slovenia,SVN,1989,1995,% of DE,97.11542793538896,97.21403238342815,1995417,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Yugosl.: Slovenia,0.09860444803918256,+0.1,no change,% of DE
Yugosl.,CEE,Slovenia,SVN,1995,2023,% of DE,97.21403238342815,100.27734870855282,1988051,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Yugosl.: Slovenia,3.0633163251246742,+3.1,convergence,% of DE
