year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,29610,Biharugra,község,Békés,5284.0,839,576
2012,11970,Bikács,község,Tolna,3467.0,433,220
2012,04899,Bikal,község,Baranya,1703.0,743,333
2012,02945,Biri,község,Szabolcs-Szatmár-Bereg,2259.0,1376,496
2012,05139,Birján,község,Baranya,907.0,510,202
2012,24925,Bisse,község,Baranya,1380.0,228,116
2012,29203,Boba,község,Vas,1095.0,807,329
2012,17543,Bocfölde,község,Zala,873.0,1138,410
2012,22354,Boconád,község,Heves,2956.0,1248,629
2012,08305,Bócsa,község,Bács-Kiskun,9704.0,1830,951
2012,31291,Bocska,község,Zala,738.0,342,144
2012,34102,Bocskaikert,község,Hajdú-Bihar,1089.0,2946,1072
2012,20899,Boda,község,Baranya,1542.0,436,169
2012,18254,Bodajk,város,Fejér,2898.0,4051,1495
2012,11624,Bodmér,község,Fejér,717.0,222,123
2012,33002,Bodolyabér,község,Baranya,909.0,222,115
2012,06220,Bodonhely,község,Győr-Moson-Sopron,1110.0,277,135
2012,14933,Bodony,község,Heves,2897.0,714,459
2012,04321,Bodorfa,község,Veszprém,222.0,107,55
2012,10506,Bodrog,község,Somogy,1478.0,430,172
2012,23737,Bodroghalom,község,Borsod-Abaúj-Zemplén,2686.0,1303,564
2012,30784,Bodrogkeresztúr,község,Borsod-Abaúj-Zemplén,2988.0,1107,558
2012,33808,Bodrogkisfalud,község,Borsod-Abaúj-Zemplén,1467.0,836,434
2012,14401,Bodrogolaszi,község,Borsod-Abaúj-Zemplén,2061.0,882,400
2012,27429,Bódvalenke,község,Borsod-Abaúj-Zemplén,663.0,184,63
2012,33303,Bódvarákó,község,Borsod-Abaúj-Zemplén,922.0,94,82
2012,05926,Bódvaszilas,község,Borsod-Abaúj-Zemplén,1922.0,1005,486
2012,25195,Bogács,község,Borsod-Abaúj-Zemplén,2470.0,2024,970
2012,32151,Bogád,község,Baranya,784.0,1094,326
2012,21892,Bogádmindszent,község,Baranya,1158.0,431,136
2012,10694,Bogdása,község,Baranya,2099.0,276,128
2012,03425,Bogyiszló,község,Tolna,5593.0,2193,911
2012,04367,Bogyoszló,község,Győr-Moson-Sopron,2621.0,598,317
2012,14137,Bojt,község,Hajdú-Bihar,2688.0,489,246
2012,19929,Bókaháza,község,Zala,670.0,305,147
2012,07311,Bokod,község,Komárom-Esztergom,2993.0,2096,809
2012,03841,Bokor,község,Nógrád,675.0,110,74
2012,03452,Boldog,község,Heves,2674.0,2975,1179
2012,13116,Boldogasszonyfa,község,Baranya,1722.0,426,216
2012,18944,Boldogkőújfalu,község,Borsod-Abaúj-Zemplén,1098.0,544,214
2012,14474,Boldogkőváralja,község,Borsod-Abaúj-Zemplén,2200.0,1084,435
2012,08396,Boldva,község,Borsod-Abaúj-Zemplén,2834.0,2331,805
2012,13994,Bolhás,község,Somogy,3143.0,407,196
2012,18120,Bolhó,község,Somogy,2507.0,720,401
2012,33154,Bóly,város,Baranya,2538.0,3996,1547
2012,10782,Boncodfölde,község,Zala,590.0,348,138
2012,06497,Bonyhád,város,Tolna,7213.0,13741,5614
2012,14818,Bonyhádvarasd,község,Tolna,1045.0,402,159
2012,22673,Bonnya,község,Somogy,1462.0,261,147
2012,08192,Bordány,község,Csongrád,3648.0,3262,1443
2012,03090,Borgáta,község,Vas,621.0,140,101
2012,06725,Borjád,község,Baranya,1559.0,388,161
2012,19327,Borota,község,Bács-Kiskun,8180.0,1294,737
2012,10056,Borsfa,község,Zala,1183.0,710,288
2012,30669,Borsodbóta,község,Borsod-Abaúj-Zemplén,813.0,857,358
2012,16124,Borsodgeszt,község,Borsod-Abaúj-Zemplén,1507.0,246,180
2012,06707,Borsodivánka,község,Borsod-Abaúj-Zemplén,1590.0,739,241
2012,05315,Borsodnádasd,város,Borsod-Abaúj-Zemplén,2808.0,3007,1386
2012,30207,Borsodszentgyörgy,község,Borsod-Abaúj-Zemplén,2152.0,1135,484
2012,16799,Borsodszirák,község,Borsod-Abaúj-Zemplén,1101.0,1199,390
2012,09894,Borsosberény,község,Nógrád,2026.0,1001,398
2012,04765,Borszörcsök,község,Veszprém,1180.0,362,156
2012,30252,Borzavár,község,Veszprém,1300.0,712,344
2012,14368,Bosta,község,Baranya,595.0,135,54
2012,22239,Botpalád,község,Szabolcs-Szatmár-Bereg,1650.0,580,247
2012,13365,Botykapeterd,község,Baranya,1743.0,312,134
2012,06390,Bozzai,község,Vas,443.0,316,119
2012,05023,Bozsok,község,Vas,2091.0,328,140
2012,31006,Bózsva,község,Borsod-Abaúj-Zemplén,1639.0,183,126
2012,05476,Bő,község,Vas,1065.0,640,306
2012,05306,Bőcs,község,Borsod-Abaúj-Zemplén,2432.0,2754,956
2012,22877,Böde,község,Zala,917.0,275,130
2012,04163,Bödeháza,község,Zala,667.0,55,58
2012,11651,Bögöt,község,Vas,499.0,382,168
2012,07296,Bögöte,község,Vas,2074.0,287,151
